Model,Price,Spec
"realme Narzo 50i (Mint Green, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 6 (Comet White, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Drifting White, 256 GB)","₹33,999",8 GB RAM | 256 GB ROM
"realme GT Neo 3T (Drifting White, 128 GB)","₹31,999",8 GB RAM | 128 GB ROM
"realme Narzo 50A (Oxygen Green, 128 GB)","₹12,499",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo 50A (Oxygen Green, 64 GB)","₹11,499",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Shade Black, 128 GB)","₹29,999",6 GB RAM | 128 GB ROM
"realme Narzo 50A (Oxygen Blue, 128 GB)","₹12,499",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme Narzo N53 (Feather Gold, 64 GB)","₹8,695",4 GB RAM | 64 GB ROM
"realme Narzo 50A Prime (Flash Black, 64 GB)","₹10,898",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB
"realme Narzo 20 Pro (White Knight, 64 GB)","₹16,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 9 5G (Supersonic Black, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 9 5G (Meteor Black, 64 GB)","₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB
"realme 8s 5G (Universe Blue, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme C53 (Gold, 64 GB)","₹9,990",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
"realme 7i (Fusion Blue, 64 GB)","₹11,849",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 7i (Fusion Green, 64 GB)","₹11,849",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB
"realme 8s 5G (Universe Purple, 128 GB)","₹19,999",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB
"realme 7i (Fusion Blue, 128 GB)","₹14,249",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3T (Dash Yellow, 256 GB)","₹33,999",8 GB RAM | 256 GB ROM
"realme GT Neo 3T (Drifting White, 128 GB)","₹29,999",6 GB RAM | 128 GB ROM
"realme Narzo 30A (Laser Black, 32 GB)","₹9,999",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB
"realme GT Neo 3 (Sprint White, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM
"realme C53 (Champion Gold, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
"realme C53 (Champion Black, 64 GB)","₹32,999",6 GB RAM | 64 GB ROM | Expandable Upto 2 TB
"realme C53 (Champion Black, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme C53 (Champion Gold, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11x 5G (Midnight Black, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11x 5G (Midnight Black, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11x 5G (Purple Dawn, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11x 5G (Purple Dawn, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11 5G (Glory Black, 256 GB)","₹32,999",8 GB RAM | 256 GB ROM | Expandable Upto 2 TB
"realme C53 (Champion Gold, 128 GB)","₹32,999",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme 11 5G (Glory Gold, 128 GB)","₹32,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB
"realme C51 (Mint Green, 64 GB)","₹32,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB
"realme C51 (Mint Green, 128 GB)","₹32,999",4 GB RAM | 128 GB ROM | Expandable Upto 2 TB
